fips,solar_system_count_residential
06001,24757
06003,0
06005,243
06007,2635
06009,295
06011,272
06013,33981
06015,20
06017,4367
06019,24557
06021,558
06023,621
06025,1273
06027,86
06029,23662
06031,3502
06033,402
06035,8
06037,92661
06039,2598
06041,4070
06043,6
06045,251
06047,4855
06049,12
06051,14
06053,4972
06055,2496
06057,500
06059,42047
06061,15119
06063,3
06065,54995
06067,20109
06069,1332
06071,34021
06073,96874
06075,5231
06077,13517
06079,2136
06081,9266
06083,4801
06085,32688
06087,3520
06089,793
06091,0
06093,64
06095,10241
06097,6755
06099,6340
06101,1504
06103,374
06105,1
06107,9883
06109,296
06111,14908
06113,5635
06115,839
